time	temp
318.678	35.2608
319.035	35.1873
319.4	35.1042
320.4	34.8751
321.4	34.6461
321.7	34.5773
322.061	34.5029
322.374	34.4421
322.791	34.3675
323.158	34.3087
323.277	34.2913
323.396	34.2746
323.832	34.221
323.95	34.2087
324.188	34.1868
324.386	34.1717
324.782	34.151
325.139	34.1436
325.851	34.1646
326	34.1755
326.208	34.1946
326.406	34.2173
326.644	34.2506
326.842	34.2834
326.96	34.3052
327.09	34.3312
327.271	34.371
327.452	34.4151
327.723	34.4893
327.904	34.5446
328.084	34.6041
328.31	34.6853
328.446	34.7376
328.717	34.8484
328.943	34.9472
329.169	35.0512
329.304	35.1154
329.53	35.2263
329.711	35.3176
329.892	35.411
330.163	35.5537
330.343	35.6501
330.524	35.7479
330.705	35.8463
330.886	35.9449
331.247	36.1412
331.428	36.2388
331.608	36.3349
331.789	36.4303
331.97	36.5241
332.331	36.7052
332.602	36.8348
332.783	36.9177
332.964	36.9973
333.416	37.1797
333.596	37.245
333.867	37.3346
334.319	37.4579
334.482	37.4936
334.952	37.5676
335.223	37.5895
335.331	37.5941
335.494	37.5966
335.855	37.5842
336.036	37.5691
336.172	37.5541
336.307	37.5362
336.416	37.5196
336.669	37.474
336.849	37.4358
337.211	37.3457
337.392	37.2944
337.753	37.1808
337.934	37.1186
338.114	37.0536
338.25	37.0026
338.476	36.9145
339.018	36.6883
339.199	36.6089
339.47	36.4873
339.741	36.363
339.922	36.2789
341.012	35.7727
341.548	35.5239
341.729	35.4441
342.018	35.3205
342.369	35.1775
343.2	34.8801
343.754	34.7227
344.206	34.6239
344.308	34.6056
344.585	34.5639
344.769	34.5424
345.138	34.5138
345.323	34.5066
345.785	34.5088
345.969	34.5176
346.154	34.5308
346.292	34.5435
346.449	34.5608
346.8	34.6104
346.985	34.6425
347.871	34.8504
348	34.8879
348.185	34.9446
348.369	35.0045
349.108	35.2786
349.754	35.5594
349.938	35.6459
350.215	35.7814
350.769	36.0702
351.046	36.2231
351.415	36.4348
351.692	36.5996
352.062	36.8269
352.523	37.121
353.169	37.5511
353.723	37.9346
354.723	38.6785
355.723	39.4224
356.723	40.1663
357.723	40.9103
358.723	41.6542
359.556	42.2739
360.556	42.9461
361.556	43.6182
361.778	43.7675
362	43.903
362.222	44.0355
362.444	44.1649
362.667	44.2915
362.889	44.4142
363.111	44.5334
363.333	44.6489
363.556	44.7611
363.778	44.8689
364.022	44.9827
364.328	45.1182
364.442	45.1666
364.574	45.2212
364.808	45.3142
365.038	45.4008
365.154	45.4428
365.269	45.4833
365.407	45.5304
365.524	45.5691
365.788	45.6523
365.904	45.687
366.135	45.753
366.885	45.9385
367.288	46.0208
367.865	46.1185
368.865	46.2304
369.019	46.2477
369.942	46.2928
370.588	46.2966
371.588	46.258
371.765	46.2512
372.353	46.2059
373.235	46.1134
373.529	46.0767
374.529	45.9141
375.529	45.7515
376.176	45.6462
376.309	45.6211
376.765	45.5333
376.897	45.5074
377.353	45.4171
377.485	45.3907
377.779	45.3316
377.941	45.2989
378.235	45.2394
378.529	45.1799
379.118	45.0614
379.412	45.0029
379.765	44.9335
380.106	44.8676
380.529	44.7878
381.529	44.6412
382.529	44.4945
383.529	44.3479
384.019	44.2761
385.019	44.2183
385.796	44.1735
385.902	44.1719
386.388	44.1716
386.769	44.179
387.192	44.1947
387.827	44.2326
388.038	44.2488
388.885	44.3306
389.885	44.4599
390.577	44.5658
391	44.6375
391.205	44.6739
391.368	44.7035
391.818	44.7885
392.023	44.8286
393.023	45.0361
393.25	45.0853
393.455	45.1305
393.659	45.1761
394.659	45.4097
395.5	45.6062
